aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
    1     1 atomic    1 s   0 	     0.00003201    0.00000000     -0.00000034    0.00000000      0.00000153    0.00000000      0.00007756    0.00000000     -0.00001831    0.00000000      0.00009173    0.00000000     -0.00001560    0.00000000      0.00002994    0.00000000      0.00002024    0.00000000      0.00000512    0.00000000     -0.00000337    0.00000000      0.00006008    0.00000000     -0.00000614    0.00000000     -0.00000295    0.00000000      0.00001315    0.00000000      0.00001797    0.00000000  
    2     1 atomic    2 s   0 	    -0.00024290    0.00000000      0.00000086    0.00000000     -0.00001355    0.00000000     -0.00058510    0.00000000      0.00012771    0.00000000     -0.00068820    0.00000000      0.00011022    0.00000000     -0.00021092    0.00000000     -0.00013080    0.00000000     -0.00003777    0.00000000      0.00001723    0.00000000     -0.00042677    0.00000000      0.00004683    0.00000000      0.00003497    0.00000000     -0.00009524    0.00000000     -0.00013085    0.00000000  
    3     1 atomic    3 s   0 	     0.00123862    0.00000000      0.00001218    0.00000000      0.00007979    0.00000000      0.00295965    0.00000000     -0.00053736    0.00000000      0.00345428    0.00000000     -0.00043617    0.00000000      0.00086880    0.00000000      0.00036833    0.00000000      0.00018316    0.00000000     -0.00001676    0.00000000      0.00182670    0.00000000     -0.00021662    0.00000000     -0.00036636    0.00000000      0.00043696    0.00000000      0.00059314    0.00000000  
    4     1 ionic     4 s   0 	     0.00848369    0.00000000      0.00081785    0.00000000      0.00022600    0.00000000      0.01217932    0.00000000     -0.00146166    0.00000000      0.01098889    0.00000000      0.00134462    0.00000000     -0.00752017    0.00000000     -0.01133078    0.00000000      0.00041113    0.00000000      0.00010548    0.00000000     -0.00570067    0.00000000      0.00097496    0.00000000     -0.00149085    0.00000000     -0.00046376    0.00000000     -0.00011609    0.00000000  
    5     1 atomic    4 s   0 	     0.00347991    0.00000000      0.00041142    0.00000000      0.00026955    0.00000000      0.00481118    0.00000000     -0.00061946    0.00000000      0.00383703    0.00000000      0.00015526    0.00000000     -0.00364508    0.00000000     -0.00483421    0.00000000     -0.00000035    0.00000000      0.00028457    0.00000000     -0.00445420    0.00000000      0.00054991    0.00000000     -0.00206326    0.00000000     -0.00043716    0.00000000     -0.00036121    0.00000000  
    6     1 atomic    2 p  -1 	    -0.00000922    0.00000000      0.00008671    0.00000000      0.00007289    0.00000000      0.00000472    0.00000000     -0.00001598    0.00000000     -0.00000457    0.00000000     -0.00000405    0.00000000     -0.00000887    0.00000000      0.00000276    0.00000000     -0.00000135    0.00000000      0.00000785    0.00000000      0.00000578    0.00000000      0.00001353    0.00000000     -0.00000307    0.00000000      0.00005927    0.00000000      0.00001576    0.00000000  
    7     1 atomic    2 p   0 	     0.00005438    0.00000000      0.00001025    0.00000000      0.00000732    0.00000000     -0.00002307    0.00000000      0.00001451    0.00000000     -0.00006870    0.00000000     -0.00000165    0.00000000     -0.00003421    0.00000000     -0.00005110    0.00000000      0.00000127    0.00000000      0.00001343    0.00000000     -0.00011578    0.00000000      0.00001017    0.00000000     -0.00008365    0.00000000     -0.00000253    0.00000000      0.00000299    0.00000000  
    8     1 atomic    2 p   1 	     0.00000563    0.00000000     -0.00000255    0.00000000     -0.00004528    0.00000000     -0.00000039    0.00000000     -0.00007894    0.00000000     -0.00000047    0.00000000      0.00001879    0.00000000      0.00001633    0.00000000     -0.00001253    0.00000000     -0.00000203    0.00000000     -0.00001472    0.00000000      0.00000440    0.00000000      0.00002660    0.00000000      0.00000371    0.00000000      0.00001391    0.00000000     -0.00005196    0.00000000  
    9     1 atomic    3 p  -1 	     0.00020728    0.00000000     -0.00184815    0.00000000     -0.00155976    0.00000000     -0.00007307    0.00000000      0.00038942    0.00000000      0.00007261    0.00000000      0.00004917    0.00000000      0.00016190    0.00000000     -0.00008427    0.00000000      0.00003501    0.00000000     -0.00010487    0.00000000     -0.00007244    0.00000000     -0.00020750    0.00000000      0.00002795    0.00000000     -0.00123732    0.00000000     -0.00034083    0.00000000  
   10     1 atomic    3 p   0 	    -0.00115443    0.00000000     -0.00021500    0.00000000     -0.00015211    0.00000000      0.00040272    0.00000000     -0.00016882    0.00000000      0.00135608    0.00000000      0.00006299    0.00000000      0.00084280    0.00000000      0.00111893    0.00000000     -0.00002976    0.00000000     -0.00017873    0.00000000      0.00245789    0.00000000     -0.00028867    0.00000000      0.00179141    0.00000000      0.00003887    0.00000000     -0.00005552    0.00000000  
